,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum,address,chainCode,city,latitude,longitude,anchor_latitude,anchor_longitude,hasServiceFee,serviceFeeAmount(%),updateDate,tags
142,炸本部 (宜蘭礁溪店),th58,1,"['小吃', '鹹酥雞/雞排']",False,19.0,79.0,40.0,15.0,3.011,268,(△)宜蘭縣礁溪鄉信義路12號,c9tb,Yilan County,24.8260043,121.7708991,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,[]
143,昌平炸雞王 (宜蘭礁溪店),sczu,3,"['歐美', '炸雞']",False,19.0,79.0,40.0,15.0,3.02,62,(△) 宜蘭縣礁溪鄉中山路一段254號,b7xi,Yilan County,24.82126712,121.77086485,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,"[{""code"": ""FREETEXT"", ""text"": ""點可口可樂套餐 開啟魔力食刻！""}]"
144,城市漢堡 (宜蘭礁溪店),kwkl,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,3.038,588,(△)宜蘭縣礁溪鄉德陽路79號,a2nx,Yilan County,24.8290117,121.7710716,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,[]
145,尼莫早午餐,yzg6,1,"['早餐', '漢堡', '台式', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,3.054,738,(△)宜蘭縣礁溪鄉中山路一段143號,yzg6,Yilan County,24.82011862,121.77067448,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,"[{""code"": ""DEAL"", ""text"": ""滿 $100 折 $10""}]"
146,慶の魚丸,a7uj,1,"['湯品', '麵食', '台式']",False,19.0,79.0,40.0,10.0,3.057,821,宜蘭縣礁溪鄉中山路一段145號,a7uj,Yilan County,24.82004125,121.77065935,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,"[{""code"": ""DEAL"", ""text"": ""滿 $100 折 $10""}]"
147,燒暖口袋煎餅,d15x,2,['小吃'],False,19.0,79.0,40.0,15.0,3.06,20,(△)宜蘭縣礁溪鄉育才路10號,d15x,Yilan County,24.8213641,121.7704573,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,[]
148,快樂小吃,b5tl,1,"['湯品', '麵食', '台式']",False,19.0,79.0,40.0,10.0,3.06,2293,(△) 宜蘭縣礁溪鄉中山路一段135號,b5tl,Yilan County,24.81994002,121.770638,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,"[{""code"": ""DEAL"", ""text"": ""滿 $200 享 9 折""}]"
149,咔必娜就是炸雞 (宜蘭礁溪店),b8q6,2,"['歐美', '台式', '鹹酥雞/雞排']",False,19.0,79.0,40.0,15.0,3.064,786,(△)宜蘭縣礁溪鄉礁溪路四段168號,zbex,Yilan County,24.822767,121.770315,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,"[{""code"": ""DEAL"", ""text"": ""滿 $250 折 $30""}, {""code"": ""FREETEXT"", ""text"": ""點可口可樂套餐 開啟魔力食刻！""}]"
150,微甜雞蛋糕,noen,2,['甜點'],False,19.0,79.0,40.0,15.0,3.07,44,(△)宜蘭縣礁溪鄉育才路20號,f8mh,Yilan County,24.82137765,121.77035705,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,"[{""code"": ""DEAL"", ""text"": ""滿 $100 折 $10""}]"
151,烤北烤物,yu5s,3,"['燒烤', '小吃', '鹹酥雞/雞排']",False,19.0,79.0,40.0,15.0,3.07,162,(△)宜蘭縣礁溪鄉育才路20之2號,yu5s,Yilan County,24.8214133,121.7703509,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,[]
152,不吃不可鹹水雞 (宜蘭礁溪店),b8wl,2,['小吃'],False,19.0,79.0,40.0,10.0,3.071,441,(△) 宜蘭縣礁溪鄉礁溪路五段80號,z3zk,Yilan County,24.8213667,121.7703415,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,[]
153,晶津海鮮大腸麵線,z99z,2,"['麵食', '小吃']",False,19.0,79.0,40.0,15.0,3.076,19,(△)宜蘭縣礁溪鄉育才路22號,z99z,Yilan County,24.8214252,121.7702881,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,[]
154,早安有約早午餐,k4vs,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,3.185,1243,(△) 宜蘭縣礁溪鄉礁溪路四段112號,k4vs,Yilan County,24.82040595,121.7693217,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,"[{""code"": ""DEAL"", ""text"": ""滿 $250 折 $40""}]"
155,ToDo元氣早午餐 (宜蘭礁溪店),jxkf,2,"['早餐', '歐美']",False,19.0,79.0,40.0,15.0,3.199,1272,(△)宜蘭縣礁溪鄉礁溪路四段105號,jxkf,Yilan County,24.82006105,121.76923566,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,[]
156,義眾魚羹的家,e8mz,1,"['湯品', '麵食', '台式']",False,19.0,79.0,40.0,10.0,3.229,808,(△) 宜蘭縣礁溪鄉中山路一段43號,e8mz,Yilan County,24.81828965,121.76925675,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,[]
